"id","School.Name","2006","2007","2008","2009","2010","2011","2012","mean","grad.rate"
"0492-01-200","AUSTIN SENIOR HIGH                 ",0.29,0.29,0.31,0.25,0.32,0.37,0.29,0.3,0.84
"0508-01-040","ST. PETER SENIOR HIGH              ",0.19,0.27,0.2,0.2,0.27,0.25,0.15,0.22,0.93
"0518-01-008","WORTHINGTON SENIOR HIGH            ",0.21,0.27,0.33,0.4,0.34,0.37,0.34,0.32,0.81
"0531-01-020","BYRON SENIOR HIGH SCHOOL           ",0.34,0.32,0.25,0.33,0.29,0.2,0.34,0.3,0.92
"0534-01-030","STEWARTVILLE SENIOR HIGH           ",0.36,0.4,0.39,0.29,0.25,0.36,0.28,0.33,0.86
"0535-01-305","CENTURY SENIOR HIGH                ",0.28,0.29,0.22,0.33,0.25,0.24,0.22,0.26,0.9
"0535-01-310","JOHN MARSHALL SENIOR HIGH          ",0.35,0.31,0.39,0.38,0.49,0.43,0.32,0.38,0.9
"0535-01-315","MAYO SENIOR HIGH                   ",0.23,0.29,0.24,0.35,0.28,0.3,0.37,0.29,0.88
"0544-01-390","KENNEDY SECONDARY SCHOOL           ",0.34,0.39,0.36,0.37,0.11,0.24,0.16,0.28,0.88
"0548-01-020","PELICAN RAPIDS SECONDARY           ",0.23,0.37,0.42,0.45,0.3,,0.29,0.34,0.96
"0549-01-030","PERHAM SENIOR HIGH                 ",0.27,0.2,0.19,0.28,0.14,0.22,0.17,0.21,0.89
"0564-01-070","LINCOLN SENIOR HIGH                ",0.3,0.4,0.34,0.41,0.37,0.32,0.3,0.35,0.95
"0578-01-020","PINE CITY SECONDARY                ",0.34,0.31,0.35,0.24,0.41,0.22,0.27,0.31,0.94
"0593-01-090","CROOKSTON SECONDARY                ",0.33,0.4,0.47,0.38,0.25,0.3,,0.36,0.87
"0595-01-320","EAST GRAND FORKS SENIOR HIGH       ",0.28,0.44,0.38,0.46,0.44,0.37,0.4,0.4,0.84
"0621-01-064","MOUNDS VIEW SENIOR HIGH            ",0.18,0.22,0.2,0.13,0.19,0.12,0.05,0.16,0.95
"0621-01-065","IRONDALE SENIOR HIGH               ",0.27,0.29,0.34,0.3,0.27,0.21,0.27,0.28,0.94
"0622-01-057","NORTH SENIOR HIGH                  ",0.44,0.41,0.32,0.37,0.4,0.33,0.24,0.36,0.84
"0622-01-058","TARTAN SENIOR HIGH                 ",0.39,0.29,0.35,0.34,0.34,0.32,0.24,0.32,0.87
"0623-01-069","ROSEVILLE AREA SENIOR HIGH         ",0.27,0.29,0.34,0.29,0.24,0.25,0.2,0.27,0.88
"0624-01-095","WHITE BEAR SOUTH CAMPUS SENIOR     ",0.36,0.36,0.38,0.35,0.29,0.32,0.29,0.34,0.97
"0624-01-837","WHITE BEAR AREA LEARNING CENTER    ",,0.84,,0.55,0.44,,,0.61,0.54
"0625-01-210","CENTRAL SENIOR HIGH                ",0.31,0.32,0.35,0.32,0.29,0.38,0.29,0.32,0.89
"0625-01-212","COMO PARK SENIOR HIGH              ",0.31,0.31,0.38,0.36,0.37,0.44,0.39,0.37,0.81
"0625-01-215","HARDING SENIOR HIGH                ",0.44,0.51,0.44,0.43,0.51,0.51,0.45,0.47,0.77
"0625-01-220","HIGHLAND PARK SENIOR HIGH          ",0.25,0.36,0.29,0.26,0.36,0.42,0.34,0.33,0.84
"0625-01-225","HUMBOLDT SECONDARY SCHOOL          ",0.42,0.45,0.53,0.37,0.47,0.45,0.55,0.46,0.68
"0625-01-230","JOHNSON SENIOR HIGH                ",0.41,0.4,0.35,0.42,0.41,0.5,0.45,0.42,0.77
"0625-01-608","FOCUS BEYOND                       ",,,0.43,,0.55,,,0.49,0.25
"0625-01-710","GORDON PARKS HIGH SCHOOL           ",0.38,0.68,0.72,0.6,0.51,0.58,0.44,0.56,0.37
"0656-01-080","FARIBAULT SENIOR HIGH              ",0.35,0.4,0.39,0.4,0.35,0.34,0.2,0.35,0.84
"0659-01-001","NORTHFIELD SENIOR HIGH             ",0.21,0.22,0.23,0.21,0.17,0.12,0.09,0.18,0.96
