"district","school","id","year","grads","college","mncollege","remedial"
"Anoka-Hennepin Public School District","BLAINE HIGH SCHOOL","0011-01-091",2006,530,442,353,131
"Anoka-Hennepin Public School District","BLAINE HIGH SCHOOL","0011-01-091",2007,557,461,365,128
"Anoka-Hennepin Public School District","BLAINE HIGH SCHOOL","0011-01-091",2008,573,482,382,134
"Anoka-Hennepin Public School District","BLAINE HIGH SCHOOL","0011-01-091",2009,534,449,354,118
"Anoka-Hennepin Public School District","BLAINE HIGH SCHOOL","0011-01-091",2010,560,475,365,115
"Anoka-Hennepin Public School District","BLAINE HIGH SCHOOL","0011-01-091",2011,599,504,396,111
"Anoka-Hennepin Public School District","BLAINE HIGH SCHOOL","0011-01-091",2012,559,468,362,85
"Anoka-Hennepin Public School District","BRIDGES ALTERNATIVE PROGRAM","0011-01-436",2006,19,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","BRIDGES ALTERNATIVE PROGRAM","0011-01-436",2007,18,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","BRIDGES ALTERNATIVE PROGRAM","0011-01-436",2008,16,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","BRIDGES ALTERNATIVE PROGRAM","0011-01-436",2009,30,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","BRIDGES ALTERNATIVE PROGRAM","0011-01-436",2010,34,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","BRIDGES ALTERNATIVE PROGRAM","0011-01-436",2011,28,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","BRIDGES ALTERNATIVE PROGRAM","0011-01-436",2012,31,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","CHAMPLIN PARK HIGH SCHOOL","0011-01-192",2006,594,511,409,123
"Anoka-Hennepin Public School District","CHAMPLIN PARK HIGH SCHOOL","0011-01-192",2007,614,539,435,146
"Anoka-Hennepin Public School District","CHAMPLIN PARK HIGH SCHOOL","0011-01-192",2008,656,585,446,160
"Anoka-Hennepin Public School District","CHAMPLIN PARK HIGH SCHOOL","0011-01-192",2009,676,602,458,165
"Anoka-Hennepin Public School District","CHAMPLIN PARK HIGH SCHOOL","0011-01-192",2010,649,575,440,141
"Anoka-Hennepin Public School District","CHAMPLIN PARK HIGH SCHOOL","0011-01-192",2011,630,557,434,148
"Anoka-Hennepin Public School District","CHAMPLIN PARK HIGH SCHOOL","0011-01-192",2012,631,566,424,104
"Anoka-Hennepin Public School District","COON RAPIDS HIGH SCHOOL","0011-01-002",2006,507,413,332,117
"Anoka-Hennepin Public School District","COON RAPIDS HIGH SCHOOL","0011-01-002",2007,517,423,330,127
"Anoka-Hennepin Public School District","COON RAPIDS HIGH SCHOOL","0011-01-002",2008,512,437,347,131
"Anoka-Hennepin Public School District","COON RAPIDS HIGH SCHOOL","0011-01-002",2009,497,418,346,121
"Anoka-Hennepin Public School District","COON RAPIDS HIGH SCHOOL","0011-01-002",2010,503,441,345,96
"Anoka-Hennepin Public School District","COON RAPIDS HIGH SCHOOL","0011-01-002",2011,471,414,323,98
"Anoka-Hennepin Public School District","COON RAPIDS HIGH SCHOOL","0011-01-002",2012,439,380,296,71
"Anoka-Hennepin Public School District","CROSSROADS-NIGHT","0011-01-111",2006,50,19,13,"fewer than 10"
"Anoka-Hennepin Public School District","CROSSROADS-NIGHT","0011-01-111",2007,42,18,15,"fewer than 10"
"Anoka-Hennepin Public School District","CROSSROADS-NIGHT","0011-01-111",2008,44,22,16,"fewer than 10"
"Anoka-Hennepin Public School District","CROSSROADS-NIGHT","0011-01-111",2009,47,25,17,"fewer than 10"
"Anoka-Hennepin Public School District","CROSSROADS-NIGHT","0011-01-111",2010,43,22,17,12
"Anoka-Hennepin Public School District","CROSSROADS-NIGHT","0011-01-111",2011,33,13,10,"fewer than 10"
"Anoka-Hennepin Public School District","TRANSITION PLUS","0011-01-468",2006,99,14,14,"fewer than 10"
"Anoka-Hennepin Public School District","TRANSITION PLUS","0011-01-468",2007,77,16,16,"fewer than 10"
"Anoka-Hennepin Public School District","TRANSITION PLUS","0011-01-468",2008,69,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","TRANSITION PLUS","0011-01-468",2009,85,17,17,"fewer than 10"
"Anoka-Hennepin Public School District","TRANSITION PLUS","0011-01-468",2010,99,16,16,"fewer than 10"
"Anoka-Hennepin Public School District","TRANSITION PLUS","0011-01-468",2011,95,16,16,"fewer than 10"
"Anoka-Hennepin Public School District","TRANSITION PLUS","0011-01-468",2012,83,"fewer than 10","fewer than 10","fewer than 10"
"Anoka-Hennepin Public School District","UNIVERSITY CREEK AREA LEARNING CNTR","0011-01-469",2006,22,"fewer than 10","fewer than 10","fewer than 10"
"Arcadia Charter School","ARCADIA CHARTER SCHOOL","4091-07-010",2006,17,13,"fewer than 10","fewer than 10"
"Arcadia Charter School","ARCADIA CHARTER SCHOOL","4091-07-010",2007,20,15,13,"fewer than 10"
"Arcadia Charter School","ARCADIA CHARTER SCHOOL","4091-07-010",2008,23,15,13,"fewer than 10"
"Arcadia Charter School","ARCADIA CHARTER SCHOOL","4091-07-010",2009,11,"fewer than 10","fewer than 10","fewer than 10"
"Arcadia Charter School","ARCADIA CHARTER SCHOOL","4091-07-010",2010,11,"fewer than 10","fewer than 10","fewer than 10"
"Arcadia Charter School","ARCADIA CHARTER SCHOOL","4091-07-010",2011,18,"fewer than 10","fewer than 10","fewer than 10"
"Arcadia Charter School","ARCADIA CHARTER SCHOOL","4091-07-010",2012,13,"fewer than 10","fewer than 10","fewer than 10"
"Ashby Public School District","ASHBY SECONDARY","0261-01-020",2006,25,21,11,"fewer than 10"
"Ashby Public School District","ASHBY SECONDARY","0261-01-020",2007,28,25,19,"fewer than 10"
"Ashby Public School District","ASHBY SECONDARY","0261-01-020",2008,24,18,15,"fewer than 10"
"Ashby Public School District","ASHBY SECONDARY","0261-01-020",2009,19,17,13,"fewer than 10"
"Ashby Public School District","ASHBY SECONDARY","0261-01-020",2010,26,20,15,"fewer than 10"
"Ashby Public School District","ASHBY SECONDARY","0261-01-020",2011,22,17,13,"fewer than 10"
"Ashby Public School District","ASHBY SECONDARY","0261-01-020",2012,15,10,"fewer than 10","fewer than 10"
"Austin Public School District","AUSTIN AREA LEARNING CENTER","0492-01-150",2006,27,"fewer than 10","fewer than 10","fewer than 10"
"Austin Public School District","AUSTIN AREA LEARNING CENTER","0492-01-150",2007,28,"fewer than 10","fewer than 10","fewer than 10"
"Austin Public School District","AUSTIN AREA LEARNING CENTER","0492-01-150",2008,24,11,11,"fewer than 10"
"Austin Public School District","AUSTIN AREA LEARNING CENTER","0492-01-150",2009,32,"fewer than 10","fewer than 10","fewer than 10"
"Austin Public School District","AUSTIN AREA LEARNING CENTER","0492-01-150",2010,35,11,11,"fewer than 10"
"Austin Public School District","AUSTIN AREA LEARNING CENTER","0492-01-150",2011,30,"fewer than 10","fewer than 10","fewer than 10"
"Austin Public School District","AUSTIN AREA LEARNING CENTER","0492-01-150",2012,36,"fewer than 10","fewer than 10","fewer than 10"
"Austin Public School District","AUSTIN SENIOR HIGH","0492-01-200",2006,263,211,155,45
"Austin Public School District","AUSTIN SENIOR HIGH","0492-01-200",2007,241,191,145,42
"Austin Public School District","AUSTIN SENIOR HIGH","0492-01-200",2008,217,167,119,37
"Austin Public School District","AUSTIN SENIOR HIGH","0492-01-200",2009,263,198,154,38
"Austin Public School District","AUSTIN SENIOR HIGH","0492-01-200",2010,267,222,184,59
"Austin Public School District","AUSTIN SENIOR HIGH","0492-01-200",2011,238,186,140,52
"Austin Public School District","AUSTIN SENIOR HIGH","0492-01-200",2012,240,187,145,42
"Avalon School","AVALON SCHOOL","4075-07-010",2006,29,23,13,"fewer than 10"
"Avalon School","AVALON SCHOOL","4075-07-010",2007,25,16,11,"fewer than 10"
"Avalon School","AVALON SCHOOL","4075-07-010",2008,25,19,11,"fewer than 10"
"Avalon School","AVALON SCHOOL","4075-07-010",2009,25,21,16,"fewer than 10"
"Avalon School","AVALON SCHOOL","4075-07-010",2010,32,18,14,"fewer than 10"
"Avalon School","AVALON SCHOOL","4075-07-010",2011,25,17,"fewer than 10","fewer than 10"
"Avalon School","AVALON SCHOOL","4075-07-010",2012,38,31,17,"fewer than 10"
"Bagley Public School District","BAGLEY SECONDARY","0162-01-020",2006,75,50,39,11
"Bagley Public School District","BAGLEY SECONDARY","0162-01-020",2007,56,42,31,"fewer than 10"
"Bagley Public School District","BAGLEY SECONDARY","0162-01-020",2008,75,48,30,"fewer than 10"
"Bagley Public School District","BAGLEY SECONDARY","0162-01-020",2009,73,45,35,11
"Bagley Public School District","BAGLEY SECONDARY","0162-01-020",2010,50,36,30,15
"Bagley Public School District","BAGLEY SECONDARY","0162-01-020",2011,78,52,44,12
"Bagley Public School District","BAGLEY SECONDARY","0162-01-020",2012,60,28,20,"fewer than 10"
"Barnesville Public School District","BARNESVILLE SECONDARY","0146-01-040",2006,41,33,24,"fewer than 10"
"Barnesville Public School District","BARNESVILLE SECONDARY","0146-01-040",2007,53,44,27,"fewer than 10"
"Barnesville Public School District","BARNESVILLE SECONDARY","0146-01-040",2008,65,52,33,11
"Barnesville Public School District","BARNESVILLE SECONDARY","0146-01-040",2009,51,38,18,"fewer than 10"
"Barnesville Public School District","BARNESVILLE SECONDARY","0146-01-040",2010,48,35,14,"fewer than 10"
"Barnesville Public School District","BARNESVILLE SECONDARY","0146-01-040",2011,61,47,19,"fewer than 10"
"Barnesville Public School District","BARNESVILLE SECONDARY","0146-01-040",2012,47,37,20,"fewer than 10"
"Barnum Public School District","BARNUM SECONDARY","0091-01-002",2006,48,34,29,11
"Barnum Public School District","BARNUM SECONDARY","0091-01-002",2007,50,24,21,"fewer than 10"
"Barnum Public School District","BARNUM SECONDARY","0091-01-002",2008,54,26,25,"fewer than 10"
"Barnum Public School District","BARNUM SECONDARY","0091-01-002",2009,57,35,31,10
"Barnum Public School District","BARNUM SECONDARY","0091-01-002",2010,54,40,33,"fewer than 10"
"Barnum Public School District","BARNUM SECONDARY","0091-01-002",2011,44,33,28,11
"Barnum Public School District","BARNUM SECONDARY","0091-01-002",2012,45,38,32,"fewer than 10"
"Battle Lake Public School District","BATTLE LAKE SECONDARY","0542-01-020",2006,46,40,33,12
"Battle Lake Public School District","BATTLE LAKE SECONDARY","0542-01-020",2007,43,33,23,"fewer than 10"
"Battle Lake Public School District","BATTLE LAKE SECONDARY","0542-01-020",2008,52,47,32,11
"Battle Lake Public School District","BATTLE LAKE SECONDARY","0542-01-020",2009,36,32,21,"fewer than 10"
"Battle Lake Public School District","BATTLE LAKE SECONDARY","0542-01-020",2010,48,39,23,"fewer than 10"
"Battle Lake Public School District","BATTLE LAKE SECONDARY","0542-01-020",2011,45,30,26,"fewer than 10"
"Battle Lake Public School District","BATTLE LAKE SECONDARY","0542-01-020",2012,37,33,26,"fewer than 10"
