"district","school","id","year","grads","college","mncollege","remedial"
"Mesabi East School District","MESABI EAST SECONDARY","2711-01-040",2008,50,47,42,11
"Mesabi East School District","MESABI EAST SECONDARY","2711-01-040",2009,50,42,36,18
"Mesabi East School District","MESABI EAST SECONDARY","2711-01-040",2010,42,34,33,"fewer than 10"
"Mesabi East School District","MESABI EAST SECONDARY","2711-01-040",2011,34,29,27,11
"Mesabi East School District","MESABI EAST SECONDARY","2711-01-040",2012,51,42,38,11
"Metro Tech Academy","METRO TECH ACADEMY","4173-07-010",2010,25,19,16,10
"Metro Tech Academy","METRO TECH ACADEMY","4173-07-010",2011,33,23,13,12
"Metro Tech Academy","METRO TECH ACADEMY","4173-07-010",2012,21,12,11,"fewer than 10"
"Milaca Public School District","MILACA AREA LEARNING CENTER","0912-01-040",2006,18,"fewer than 10","fewer than 10","fewer than 10"
"Milaca Public School District","MILACA AREA LEARNING CENTER","0912-01-040",2007,10,"fewer than 10","fewer than 10","fewer than 10"
"Milaca Public School District","MILACA AREA LEARNING CENTER","0912-01-040",2008,14,"fewer than 10","fewer than 10","fewer than 10"
"Milaca Public School District","MILACA AREA LEARNING CENTER","0912-01-040",2009,12,"fewer than 10","fewer than 10","fewer than 10"
"Milaca Public School District","MILACA AREA LEARNING CENTER","0912-01-040",2010,12,"fewer than 10","fewer than 10","fewer than 10"
"Milaca Public School District","MILACA AREA LEARNING CENTER","0912-01-040",2011,13,"fewer than 10","fewer than 10","fewer than 10"
"Milaca Public School District","MILACA AREA LEARNING CENTER","0912-01-040",2012,13,"fewer than 10","fewer than 10","fewer than 10"
"Milaca Public School District","MILACA SECONDARY HIGH","0912-01-030",2006,104,75,69,11
"Milaca Public School District","MILACA SECONDARY HIGH","0912-01-030",2007,147,99,77,16
"Milaca Public School District","MILACA SECONDARY HIGH","0912-01-030",2008,142,110,98,18
"Milaca Public School District","MILACA SECONDARY HIGH","0912-01-030",2009,141,98,86,19
"Milaca Public School District","MILACA SECONDARY HIGH","0912-01-030",2010,132,91,76,16
"Milaca Public School District","MILACA SECONDARY HIGH","0912-01-030",2011,115,78,67,13
"Milaca Public School District","MILACA SECONDARY HIGH","0912-01-030",2012,112,72,67,11
"Minneapolis Public School Dist.","BROADWAY ARTS & TECHNOLOGY","0001-03-353",2006,28,15,10,"fewer than 10"
"Minneapolis Public School Dist.","BROADWAY ARTS & TECHNOLOGY","0001-03-353",2007,31,10,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","BROADWAY ARTS & TECHNOLOGY","0001-03-353",2008,21,12,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","BROADWAY ARTS & TECHNOLOGY","0001-03-353",2009,17,12,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","BROADWAY ARTS & TECHNOLOGY","0001-03-353",2010,28,16,14,12
"Minneapolis Public School Dist.","BROADWAY ARTS & TECHNOLOGY","0001-03-353",2011,25,14,13,"fewer than 10"
"Minneapolis Public School Dist.","BROADWAY ARTS & TECHNOLOGY","0001-03-353",2012,14,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","CENTER FOR TRAINING & CAREERS","0001-03-412",2006,29,11,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","CENTER FOR TRAINING & CAREERS","0001-03-412",2007,40,13,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","CENTER FOR TRAINING & CAREERS","0001-03-412",2008,19,12,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","EDISON SENIOR HIGH","0001-03-352",2006,138,108,88,37
"Minneapolis Public School Dist.","EDISON SENIOR HIGH","0001-03-352",2007,125,88,74,32
"Minneapolis Public School Dist.","EDISON SENIOR HIGH","0001-03-352",2008,116,92,79,37
"Minneapolis Public School Dist.","EDISON SENIOR HIGH","0001-03-352",2009,116,95,82,31
"Minneapolis Public School Dist.","EDISON SENIOR HIGH","0001-03-352",2010,163,125,104,47
"Minneapolis Public School Dist.","EDISON SENIOR HIGH","0001-03-352",2011,122,93,79,40
"Minneapolis Public School Dist.","EDISON SENIOR HIGH","0001-03-352",2012,88,69,63,31
"Minneapolis Public School Dist.","HENRY SENIOR HIGH","0001-03-354",2006,180,144,122,44
"Minneapolis Public School Dist.","HENRY SENIOR HIGH","0001-03-354",2007,197,164,133,60
"Minneapolis Public School Dist.","HENRY SENIOR HIGH","0001-03-354",2008,204,162,130,44
"Minneapolis Public School Dist.","HENRY SENIOR HIGH","0001-03-354",2009,168,149,124,44
"Minneapolis Public School Dist.","HENRY SENIOR HIGH","0001-03-354",2010,213,181,152,60
"Minneapolis Public School Dist.","HENRY SENIOR HIGH","0001-03-354",2011,168,145,118,42
"Minneapolis Public School Dist.","HENRY SENIOR HIGH","0001-03-354",2012,170,137,113,45
"Minneapolis Public School Dist.","HERITAGE SCIENCE & TECHNOLOGY","0001-03-417",2012,19,11,11,"fewer than 10"
"Minneapolis Public School Dist.","LINCOLN INTERNATIONAL HIGH SCHOOL","0001-03-391",2006,32,17,15,10
"Minneapolis Public School Dist.","LINCOLN INTERNATIONAL HIGH SCHOOL","0001-03-391",2007,35,21,17,16
"Minneapolis Public School Dist.","NORTH SENIOR HIGH","0001-03-358",2006,127,93,63,19
"Minneapolis Public School Dist.","NORTH SENIOR HIGH","0001-03-358",2007,130,109,91,35
"Minneapolis Public School Dist.","NORTH SENIOR HIGH","0001-03-358",2008,87,69,50,23
"Minneapolis Public School Dist.","NORTH SENIOR HIGH","0001-03-358",2009,74,58,44,19
"Minneapolis Public School Dist.","NORTH SENIOR HIGH","0001-03-358",2010,66,51,44,19
"Minneapolis Public School Dist.","NORTH SENIOR HIGH","0001-03-358",2011,56,34,23,13
"Minneapolis Public School Dist.","NORTH SENIOR HIGH","0001-03-358",2012,29,22,19,14
"Minneapolis Public School Dist.","PLYMOUTH YOUTH CENTER","0001-03-357",2006,16,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","PLYMOUTH YOUTH CENTER","0001-03-357",2007,23,10,10,"fewer than 10"
"Minneapolis Public School Dist.","PLYMOUTH YOUTH CENTER","0001-03-357",2008,13,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","PLYMOUTH YOUTH CENTER","0001-03-357",2009,17,10,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","PLYMOUTH YOUTH CENTER","0001-03-357",2010,25,15,12,"fewer than 10"
"Minneapolis Public School Dist.","PLYMOUTH YOUTH CENTER","0001-03-357",2011,28,10,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","PLYMOUTH YOUTH CENTER","0001-03-357",2012,36,17,15,10
"Minneapolis Public School Dist.","ROOSEVELT SENIOR HIGH","0001-03-360",2006,133,116,96,41
"Minneapolis Public School Dist.","ROOSEVELT SENIOR HIGH","0001-03-360",2007,156,117,103,48
"Minneapolis Public School Dist.","ROOSEVELT SENIOR HIGH","0001-03-360",2008,161,131,111,55
"Minneapolis Public School Dist.","ROOSEVELT SENIOR HIGH","0001-03-360",2009,120,104,86,28
"Minneapolis Public School Dist.","ROOSEVELT SENIOR HIGH","0001-03-360",2010,116,94,75,38
"Minneapolis Public School Dist.","ROOSEVELT SENIOR HIGH","0001-03-360",2011,129,103,84,43
"Minneapolis Public School Dist.","ROOSEVELT SENIOR HIGH","0001-03-360",2012,106,79,66,25
"Minneapolis Public School Dist.","SOUTH SENIOR HIGH","0001-03-362",2006,304,274,172,42
"Minneapolis Public School Dist.","SOUTH SENIOR HIGH","0001-03-362",2007,307,268,176,45
"Minneapolis Public School Dist.","SOUTH SENIOR HIGH","0001-03-362",2008,344,307,213,60
"Minneapolis Public School Dist.","SOUTH SENIOR HIGH","0001-03-362",2009,369,336,214,55
"Minneapolis Public School Dist.","SOUTH SENIOR HIGH","0001-03-362",2010,332,297,198,45
"Minneapolis Public School Dist.","SOUTH SENIOR HIGH","0001-03-362",2011,288,252,182,38
"Minneapolis Public School Dist.","SOUTH SENIOR HIGH","0001-03-362",2012,343,304,208,48
"Minneapolis Public School Dist.","SOUTHWEST SENIOR HIGH","0001-03-364",2006,277,238,140,34
"Minneapolis Public School Dist.","SOUTHWEST SENIOR HIGH","0001-03-364",2007,272,242,124,29
"Minneapolis Public School Dist.","SOUTHWEST SENIOR HIGH","0001-03-364",2008,316,278,151,39
"Minneapolis Public School Dist.","SOUTHWEST SENIOR HIGH","0001-03-364",2009,290,268,127,37
"Minneapolis Public School Dist.","SOUTHWEST SENIOR HIGH","0001-03-364",2010,310,276,141,27
"Minneapolis Public School Dist.","SOUTHWEST SENIOR HIGH","0001-03-364",2011,370,331,183,39
"Minneapolis Public School Dist.","SOUTHWEST SENIOR HIGH","0001-03-364",2012,322,298,159,30
"Minneapolis Public School Dist.","TRANSITION PLUS SERVICES","0001-03-380",2006,88,11,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","TRANSITION PLUS SERVICES","0001-03-380",2007,80,11,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","TRANSITION PLUS SERVICES","0001-03-380",2008,113,26,23,10
"Minneapolis Public School Dist.","TRANSITION PLUS SERVICES","0001-03-380",2009,83,21,18,"fewer than 10"
"Minneapolis Public School Dist.","TRANSITION PLUS SERVICES","0001-03-380",2010,89,15,11,"fewer than 10"
"Minneapolis Public School Dist.","TRANSITION PLUS SERVICES","0001-03-380",2011,137,31,24,"fewer than 10"
"Minneapolis Public School Dist.","TRANSITION PLUS SERVICES","0001-03-380",2012,146,35,32,13
"Minneapolis Public School Dist.","VOA PHOENIX - SALT HS","0001-03-419",2009,16,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","VOA PHOENIX - SALT HS","0001-03-419",2010,26,11,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","VOA PHOENIX - SALT HS","0001-03-419",2011,21,10,10,"fewer than 10"
"Minneapolis Public School Dist.","VOA PHOENIX - SALT HS","0001-03-419",2012,17,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","VOLUNTEERS OF AMERICA-HIGH","0001-03-406",2006,20,12,10,"fewer than 10"
"Minneapolis Public School Dist.","VOLUNTEERS OF AMERICA-HIGH","0001-03-406",2007,30,16,13,12
"Minneapolis Public School Dist.","VOLUNTEERS OF AMERICA-HIGH","0001-03-406",2008,16,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","VOLUNTEERS OF AMERICA-HIGH","0001-03-406",2009,26,16,10,"fewer than 10"
"Minneapolis Public School Dist.","VOLUNTEERS OF AMERICA-HIGH","0001-03-406",2010,27,18,12,"fewer than 10"
"Minneapolis Public School Dist.","VOLUNTEERS OF AMERICA-HIGH","0001-03-406",2011,26,14,"fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","VOLUNTEERS OF AMERICA-HIGH","0001-03-406",2012,15,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","WASHBURN SENIOR HIGH","0001-03-368",2006,144,124,104,40
"Minneapolis Public School Dist.","WASHBURN SENIOR HIGH","0001-03-368",2007,140,107,94,47
"Minneapolis Public School Dist.","WASHBURN SENIOR HIGH","0001-03-368",2008,160,139,116,41
"Minneapolis Public School Dist.","WASHBURN SENIOR HIGH","0001-03-368",2009,152,128,104,40
"Minneapolis Public School Dist.","WASHBURN SENIOR HIGH","0001-03-368",2010,107,91,79,33
"Minneapolis Public School Dist.","WASHBURN SENIOR HIGH","0001-03-368",2011,100,80,55,24
"Minneapolis Public School Dist.","WASHBURN SENIOR HIGH","0001-03-368",2012,114,94,64,23
"Minneapolis Public School Dist.","WELLSTONE INTERNATIONAL HIGH","0001-03-363",2006,24,18,15,12
"Minneapolis Public School Dist.","WELLSTONE INTERNATIONAL HIGH","0001-03-363",2007,26,18,16,"fewer than 10"
"Minneapolis Public School Dist.","WELLSTONE INTERNATIONAL HIGH","0001-03-363",2008,19,13,13,"fewer than 10"
"Minneapolis Public School Dist.","WELLSTONE INTERNATIONAL HIGH","0001-03-363",2009,22,18,16,10
"Minneapolis Public School Dist.","WELLSTONE INTERNATIONAL HIGH","0001-03-363",2010,10,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","WELLSTONE INTERNATIONAL HIGH","0001-03-363",2011,10,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","WELLSTONE INTERNATIONAL HIGH","0001-03-363",2012,10,"fewer than 10","fewer than 10","fewer than 10"
"Minneapolis Public School Dist.","WORK OPPORTUNITY CENTER","0001-03-374",2006,60,24,19,10
"Minneapolis Public School Dist.","WORK OPPORTUNITY CENTER","0001-03-374",2007,77,42,28,16
"Minneapolis Public School Dist.","WORK OPPORTUNITY CENTER","0001-03-374",2008,86,47,32,17
"Minneota Public School District","MINNEOTA SECONDARY","0414-01-002",2006,41,39,26,"fewer than 10"
"Minneota Public School District","MINNEOTA SECONDARY","0414-01-002",2007,51,38,25,"fewer than 10"
"Minneota Public School District","MINNEOTA SECONDARY","0414-01-002",2008,46,33,25,10
"Minneota Public School District","MINNEOTA SECONDARY","0414-01-002",2009,39,34,26,"fewer than 10"
"Minneota Public School District","MINNEOTA SECONDARY","0414-01-002",2010,45,36,14,"fewer than 10"
"Minneota Public School District","MINNEOTA SECONDARY","0414-01-002",2011,51,41,23,11
"Minneota Public School District","MINNEOTA SECONDARY","0414-01-002",2012,38,34,19,"fewer than 10"
"Minnesota Department of Corrections","MN CORRECTIONAL FACILITY-ST. CLOUD","1100-60-016",2010,23,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota Department of Corrections","MN CORRECTIONAL FACILITY-ST. CLOUD","1100-60-016",2011,17,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota Department of Corrections","MN CORRECTIONAL FACILITY-ST. CLOUD","1100-60-016",2012,10,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota State Academies","MN ACADEMY FOR THE DEAF","0160-70-002",2006,15,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota State Academies","MN ACADEMY FOR THE DEAF","0160-70-002",2007,18,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota State Academies","MN ACADEMY FOR THE DEAF","0160-70-002",2008,17,11,"fewer than 10","fewer than 10"
"Minnesota State Academies","MN ACADEMY FOR THE DEAF","0160-70-002",2009,17,10,"fewer than 10","fewer than 10"
"Minnesota State Academies","MN ACADEMY FOR THE DEAF","0160-70-002",2010,11,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota State Academies","MN ACADEMY FOR THE DEAF","0160-70-002",2011,11,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota State Academies","MN ACADEMY FOR THE DEAF","0160-70-002",2012,12,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota Transitions Charter Sch","MINNESOTA TRANSITIONS ALP","4017-07-015",2006,14,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota Transitions Charter Sch","MINNESOTA TRANSITIONS ALP","4017-07-015",2007,98,21,21,14
"Minnesota Transitions Charter Sch","MINNESOTA TRANSITIONS ALP","4017-07-015",2008,93,33,33,14
"Minnesota Transitions Charter Sch","MINNESOTA TRANSITIONS ALP","4017-07-015",2009,120,56,56,32
"Minnesota Transitions Charter Sch","MINNESOTA TRANSITIONS ALP","4017-07-015",2010,123,45,45,26
"Minnesota Transitions Charter Sch","MINNESOTA TRANSITIONS ALP","4017-07-015",2011,97,45,44,26
"Minnesota Transitions Charter Sch","MINNESOTA TRANSITIONS ALP","4017-07-015",2012,98,29,29,16
"Minnesota Transitions Charter Sch","MTCS CONNECTIONS ACADEMY","4017-07-018",2009,43,23,20,"fewer than 10"
"Minnesota Transitions Charter Sch","MTCS CONNECTIONS ACADEMY","4017-07-018",2010,52,32,25,"fewer than 10"
"Minnesota Transitions Charter Sch","MTCS CONNECTIONS ACADEMY","4017-07-018",2011,70,38,29,"fewer than 10"
"Minnesota Transitions Charter Sch","MTCS CONNECTIONS ACADEMY","4017-07-018",2012,73,38,27,"fewer than 10"
"Minnesota Transitions Charter Sch","TRANSITIONS SR. HIGH","4017-07-013",2006,19,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota Transitions Charter Sch","TRANSITIONS SR. HIGH","4017-07-013",2007,19,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota Transitions Charter Sch","TRANSITIONS SR. HIGH","4017-07-013",2008,19,"fewer than 10","fewer than 10","fewer than 10"
"Minnesota Transitions Charter Sch","TRANSITIONS SR. HIGH","4017-07-013",2009,30,13,13,"fewer than 10"
"Minnesota Transitions Charter Sch","VIRTUAL HIGH SCHOOL","4017-07-014",2008,32,15,11,"fewer than 10"
"Minnesota Transitions Charter Sch","VIRTUAL HIGH SCHOOL","4017-07-014",2009,126,68,48,17
"Minnesota Transitions Charter Sch","VIRTUAL HIGH SCHOOL","4017-07-014",2010,184,104,83,33
"Minnesota Transitions Charter Sch","VIRTUAL HIGH SCHOOL","4017-07-014",2011,195,99,69,30
"Minnesota Transitions Charter Sch","VIRTUAL HIGH SCHOOL","4017-07-014",2012,188,82,62,20
"Minnetonka Public School District","MINNETONKA SENIOR HIGH","0276-01-074",2006,552,462,254,41
"Minnetonka Public School District","MINNETONKA SENIOR HIGH","0276-01-074",2007,626,551,316,45
"Minnetonka Public School District","MINNETONKA SENIOR HIGH","0276-01-074",2008,621,565,277,55
"Minnetonka Public School District","MINNETONKA SENIOR HIGH","0276-01-074",2009,669,595,316,38
"Minnetonka Public School District","MINNETONKA SENIOR HIGH","0276-01-074",2010,724,650,336,56
"Minnetonka Public School District","MINNETONKA SENIOR HIGH","0276-01-074",2011,680,608,322,58
"Minnetonka Public School District","MINNETONKA SENIOR HIGH","0276-01-074",2012,723,628,325,34
"Minnewaska School District","MINNEWASKA SECONDARY","2149-01-050",2006,126,103,82,"fewer than 10"
"Minnewaska School District","MINNEWASKA SECONDARY","2149-01-050",2007,107,86,67,13
"Minnewaska School District","MINNEWASKA SECONDARY","2149-01-050",2008,125,100,87,15
"Minnewaska School District","MINNEWASKA SECONDARY","2149-01-050",2009,84,70,60,"fewer than 10"
"Minnewaska School District","MINNEWASKA SECONDARY","2149-01-050",2010,94,70,57,12
"Minnewaska School District","MINNEWASKA SECONDARY","2149-01-050",2011,94,73,58,13
"Minnewaska School District","MINNEWASKA SECONDARY","2149-01-050",2012,73,57,39,"fewer than 10"
"MN River Valley Education District","MN RIVER VALLEY ALC-SEATBASED","6018-61-020",2006,19,"fewer than 10","fewer than 10","fewer than 10"
"MN River Valley Education District","MN RIVER VALLEY ALC-SEATBASED","6018-61-020",2007,25,"fewer than 10","fewer than 10","fewer than 10"
"MN River Valley Education District","MN RIVER VALLEY ALC-SEATBASED","6018-61-020",2008,23,"fewer than 10","fewer than 10","fewer than 10"
"MN River Valley Education District","MN RIVER VALLEY ALC-SEATBASED","6018-61-020",2009,17,"fewer than 10","fewer than 10","fewer than 10"
"MN River Valley Education District","MN RIVER VALLEY ALC-SEATBASED","6018-61-020",2010,27,"fewer than 10","fewer than 10","fewer than 10"
"MN River Valley Education District","MN RIVER VALLEY ALC-SEATBASED","6018-61-020",2011,25,"fewer than 10","fewer than 10","fewer than 10"
"MN River Valley Education District","MN RIVER VALLEY ALC-SEATBASED","6018-61-020",2012,23,"fewer than 10","fewer than 10","fewer than 10"
"Montevideo Public School District","MONTEVIDEO SENIOR HIGH","0129-01-040",2006,110,89,68,10
"Montevideo Public School District","MONTEVIDEO SENIOR HIGH","0129-01-040",2007,107,85,62,12
"Montevideo Public School District","MONTEVIDEO SENIOR HIGH","0129-01-040",2008,89,72,53,21
"Montevideo Public School District","MONTEVIDEO SENIOR HIGH","0129-01-040",2009,95,78,62,20
"Montevideo Public School District","MONTEVIDEO SENIOR HIGH","0129-01-040",2010,114,90,69,12
"Montevideo Public School District","MONTEVIDEO SENIOR HIGH","0129-01-040",2011,92,70,53,20
"Montevideo Public School District","MONTEVIDEO SENIOR HIGH","0129-01-040",2012,94,76,45,"fewer than 10"
"Monticello Public School District","MONTICELLO ALTERNATIVE PROGRAM","0882-01-040",2006,14,"fewer than 10","fewer than 10","fewer than 10"
"Monticello Public School District","MONTICELLO ALTERNATIVE PROGRAM","0882-01-040",2007,14,"fewer than 10","fewer than 10","fewer than 10"
"Monticello Public School District","MONTICELLO ALTERNATIVE PROGRAM","0882-01-040",2008,11,"fewer than 10","fewer than 10","fewer than 10"
"Monticello Public School District","MONTICELLO ALTERNATIVE PROGRAM","0882-01-040",2009,11,"fewer than 10","fewer than 10","fewer than 10"
"Monticello Public School District","MONTICELLO ALTERNATIVE PROGRAM","0882-01-040",2010,15,"fewer than 10","fewer than 10","fewer than 10"
"Monticello Public School District","MONTICELLO ALTERNATIVE PROGRAM","0882-01-040",2011,17,"fewer than 10","fewer than 10","fewer than 10"
"Monticello Public School District","MONTICELLO ALTERNATIVE PROGRAM","0882-01-040",2012,14,"fewer than 10","fewer than 10","fewer than 10"
"Monticello Public School District","MONTICELLO SENIOR HIGH","0882-01-020",2006,261,182,138,33
"Monticello Public School District","MONTICELLO SENIOR HIGH","0882-01-020",2007,263,204,159,38
"Monticello Public School District","MONTICELLO SENIOR HIGH","0882-01-020",2008,247,179,129,46
"Monticello Public School District","MONTICELLO SENIOR HIGH","0882-01-020",2009,267,208,165,54
"Monticello Public School District","MONTICELLO SENIOR HIGH","0882-01-020",2010,265,192,139,29
"Monticello Public School District","MONTICELLO SENIOR HIGH","0882-01-020",2011,278,222,172,38
"Monticello Public School District","MONTICELLO SENIOR HIGH","0882-01-020",2012,281,211,173,30
"Moorhead Public School District","MOORHEAD HIGH SCHOOL","0152-01-382",2006,353,274,184,32
"Moorhead Public School District","MOORHEAD HIGH SCHOOL","0152-01-382",2007,363,299,197,37
"Moorhead Public School District","MOORHEAD HIGH SCHOOL","0152-01-382",2008,359,285,185,58
"Moorhead Public School District","MOORHEAD HIGH SCHOOL","0152-01-382",2009,314,252,153,26
"Moorhead Public School District","MOORHEAD HIGH SCHOOL","0152-01-382",2010,370,303,206,39
"Moorhead Public School District","MOORHEAD HIGH SCHOOL","0152-01-382",2011,343,262,155,36
"Moorhead Public School District","MOORHEAD HIGH SCHOOL","0152-01-382",2012,297,233,149,23
"Moose Lake Public School District","MOOSE LAKE SECONDARY","0097-01-010",2006,49,36,29,"fewer than 10"
"Moose Lake Public School District","MOOSE LAKE SECONDARY","0097-01-010",2007,58,47,39,17
"Moose Lake Public School District","MOOSE LAKE SECONDARY","0097-01-010",2008,42,33,31,10
"Moose Lake Public School District","MOOSE LAKE SECONDARY","0097-01-010",2009,54,41,35,11
"Moose Lake Public School District","MOOSE LAKE SECONDARY","0097-01-010",2010,47,38,36,18
"Moose Lake Public School District","MOOSE LAKE SECONDARY","0097-01-010",2011,64,54,48,16
"Moose Lake Public School District","MOOSE LAKE SECONDARY","0097-01-010",2012,51,37,31,"fewer than 10"
"Mora Public School District","MORA SECONDARY","0332-01-040",2006,120,79,65,20
"Mora Public School District","MORA SECONDARY","0332-01-040",2007,121,77,65,19
"Mora Public School District","MORA SECONDARY","0332-01-040",2008,147,108,80,21
"Mora Public School District","MORA SECONDARY","0332-01-040",2009,125,97,71,16
"Mora Public School District","MORA SECONDARY","0332-01-040",2010,122,90,75,20
"Mora Public School District","MORA SECONDARY","0332-01-040",2011,132,89,68,17
"Mora Public School District","MORA SECONDARY","0332-01-040",2012,106,70,58,14
"Morris Public School District","MORRIS AREA SECONDARY","0769-01-010",2006,95,80,54,"fewer than 10"
"Morris Public School District","MORRIS AREA SECONDARY","0769-01-010",2007,71,65,50,11
"Morris Public School District","MORRIS AREA SECONDARY","0769-01-010",2008,68,55,45,"fewer than 10"
"Morris Public School District","MORRIS AREA SECONDARY","0769-01-010",2009,74,63,39,"fewer than 10"
"Morris Public School District","MORRIS AREA SECONDARY","0769-01-010",2010,75,66,45,"fewer than 10"
"Morris Public School District","MORRIS AREA SECONDARY","0769-01-010",2011,82,70,48,"fewer than 10"
"Morris Public School District","MORRIS AREA SECONDARY","0769-01-010",2012,67,49,32,"fewer than 10"
"Mounds View Public School District","CAREER AND LIFE TRANSITION PROGRAM","0621-01-061",2006,21,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","CAREER AND LIFE TRANSITION PROGRAM","0621-01-061",2007,27,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","CAREER AND LIFE TRANSITION PROGRAM","0621-01-061",2008,17,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","CAREER AND LIFE TRANSITION PROGRAM","0621-01-061",2009,30,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","CAREER AND LIFE TRANSITION PROGRAM","0621-01-061",2010,29,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","CAREER AND LIFE TRANSITION PROGRAM","0621-01-061",2011,23,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","CAREER AND LIFE TRANSITION PROGRAM","0621-01-061",2012,24,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","HIGH SCHOOL SUMMER PROGRAM","0621-01-058",2006,12,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","HIGH SCHOOL SUMMER PROGRAM","0621-01-058",2008,45,26,22,"fewer than 10"
"Mounds View Public School District","HIGH SCHOOL SUMMER PROGRAM","0621-01-058",2009,28,13,13,"fewer than 10"
"Mounds View Public School District","HIGH SCHOOL SUMMER PROGRAM","0621-01-058",2010,19,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","HIGH SCHOOL SUMMER PROGRAM","0621-01-058",2011,23,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","HIGH SCHOOL SUMMER PROGRAM","0621-01-058",2012,11,"fewer than 10","fewer than 10","fewer than 10"
"Mounds View Public School District","IRONDALE SENIOR HIGH","0621-01-065",2006,327,261,183,50
"Mounds View Public School District","IRONDALE SENIOR HIGH","0621-01-065",2007,324,267,192,56
"Mounds View Public School District","IRONDALE SENIOR HIGH","0621-01-065",2008,347,281,202,68
"Mounds View Public School District","IRONDALE SENIOR HIGH","0621-01-065",2009,317,288,211,63
"Mounds View Public School District","IRONDALE SENIOR HIGH","0621-01-065",2010,343,300,223,60
"Mounds View Public School District","IRONDALE SENIOR HIGH","0621-01-065",2011,310,267,187,39
"Mounds View Public School District","IRONDALE SENIOR HIGH","0621-01-065",2012,339,282,212,57
"Mounds View Public School District","MOUNDS VIEW SENIOR HIGH","0621-01-064",2006,395,360,238,44
"Mounds View Public School District","MOUNDS VIEW SENIOR HIGH","0621-01-064",2007,456,410,267,59
"Mounds View Public School District","MOUNDS VIEW SENIOR HIGH","0621-01-064",2008,424,383,222,45
"Mounds View Public School District","MOUNDS VIEW SENIOR HIGH","0621-01-064",2009,398,374,230,29
"Mounds View Public School District","MOUNDS VIEW SENIOR HIGH","0621-01-064",2010,407,372,229,43
"Mounds View Public School District","MOUNDS VIEW SENIOR HIGH","0621-01-064",2011,440,403,256,31
"Mounds View Public School District","MOUNDS VIEW SENIOR HIGH","0621-01-064",2012,399,372,224,12
"Mountain Iron-Buhl School District","MOUNTAIN IRON-BUHL SECONDARY","0712-01-003",2006,32,30,27,11
"Mountain Iron-Buhl School District","MOUNTAIN IRON-BUHL SECONDARY","0712-01-003",2007,29,24,23,"fewer than 10"
"Mountain Iron-Buhl School District","MOUNTAIN IRON-BUHL SECONDARY","0712-01-003",2008,36,26,24,13
"Mountain Iron-Buhl School District","MOUNTAIN IRON-BUHL SECONDARY","0712-01-003",2009,39,30,26,"fewer than 10"
"Mountain Iron-Buhl School District","MOUNTAIN IRON-BUHL SECONDARY","0712-01-003",2010,37,28,26,"fewer than 10"
